puzzle,current_name,legacy_names,current_key,current_point,best_transform_index,best_point,point_delta,best_existing_key,best_effect_name,proposed_source_name,moved_count,orientation_count,move_count,moves
rubiks-7,CtrCore6s[B<>U;D<>F;L<>R]+ME2s[LB<>RF],,CtrCore6s[B<>U;D<>F;L<>R]+ME2s[LB<>RF]#00,94,0,94,0,CtrCore6s[B<>U;D<>F;L<>R]+ME2s[LB<>RF]#00,CtrCore6s[B<>U;D<>F;L<>R]+ME2s[LB<>RF],CtrCore6s[B<>U;D<>F;L<>R]+ME2s[LB<>RF],16,0,22,B' M F M F' M F' M F M B' E' R' E' R B2 R' E R M2 E M2
rubiks-7,CtrCore6s[B<>U;D<>F;L<>R]+ME2s[RF<>UB],,CtrCore6s[B<>U;D<>F;L<>R]+ME2s[RF<>UB]#00,74,0,74,0,CtrCore6s[B<>U;D<>F;L<>R]+ME2s[RF<>UB]#00,CtrCore6s[B<>U;D<>F;L<>R]+ME2s[RF<>UB],CtrCore6s[B<>U;D<>F;L<>R]+ME2s[RF<>UB],16,0,19,M F M F' M F' M F M E' B' E' B2 E B' E2 M2 E' M2
rubiks-7,CtrCore6s[B<>U;D<>F;L<>R]+ME2s[RF<>UF],,CtrCore6s[B<>U;D<>F;L<>R]+ME2s[RF<>UF]#00,74,0,74,0,CtrCore6s[B<>U;D<>F;L<>R]+ME2s[RF<>UF]#00,CtrCore6s[B<>U;D<>F;L<>R]+ME2s[RF<>UF],CtrCore6s[B<>U;D<>F;L<>R]+ME2s[RF<>UF],20,0,22,U2 M U2 M2 F' M' F M' F M' F' M2 B E B2 E' B M S' M2 S M2
rubiks-7,CtrObl10p[5x2]~v01,,CtrObl10p[5x2]~v01#00,4900,0,4900,0,CtrObl10p[5x2]~v01#00,CtrObl10p[5x2],CtrObl10p[5x2]~v01,10,0,11,2F 3R 2U 3R' 2U' 2F' 3B' 2R2 3B' 2R2 3B2
rubiks-7,CtrObl10p[5x2]~v02,,CtrObl10p[5x2]~v02#00,4900,0,4900,0,CtrObl10p[5x2]~v02#00,CtrObl10p[5x2],CtrObl10p[5x2]~v02,10,0,11,3B' 2R 3D' 2R' 3D 2B' 3B 3L2 2B' 3L2 2B2
rubiks-7,CtrObl10p[5x2]~v03,,CtrObl10p[5x2]~v03#00,7000,0,7000,0,CtrObl10p[5x2]~v03#00,CtrObl10p[5x2],CtrObl10p[5x2]~v03,10,0,9,3U2 2R2 3U' 2R2 3U' 2R2 3U' 2R2 3U
rubiks-7,CtrObl3[B@2R.3U>L@2B.3U>R@2F.3U],,CtrObl3[B@2R.3U>L@2B.3U>R@2F.3U]#00,5400,0,5400,0,CtrObl3[B@2R.3U>L@2B.3U>R@2F.3U]#00,CtrObl3[B@2R.3U>L@2B.3U>R@2F.3U],CtrObl3[B@2R.3U>L@2B.3U>R@2F.3U],3,0,8,2D' B' 2D 3B2 2D' B 2D 3B2
rubiks-7,CtrObl3[B@2R.3U>L@3F.2U>R@2F.3U],,CtrObl3[B@2R.3U>L@3F.2U>R@2F.3U]#00,5400,0,5400,0,CtrObl3[B@2R.3U>L@3F.2U>R@2F.3U]#00,CtrObl3[B@2R.3U>L@3F.2U>R@2F.3U],CtrObl3[B@2R.3U>L@3F.2U>R@2F.3U],3,0,11,L2 2R2 3D' L' 2U2 L 3D L' 2U2 L' 2R2
rubiks-7,CtrObl3[B@2R.3U>R@2F.3U>L@2B.3U],,CtrObl3[B@2R.3U>R@2F.3U>L@2B.3U]#00,5400,0,5400,0,CtrObl3[B@2R.3U>R@2F.3U>L@2B.3U]#00,CtrObl3[B@2R.3U>R@2F.3U>L@2B.3U],CtrObl3[B@2R.3U>R@2F.3U>L@2B.3U],3,0,8,3B2 2D' B' 2D 3B2 2D' B 2D
rubiks-7,CtrObl3[B@2R.3U>R@2F.3U>L@3F.2U],,CtrObl3[B@2R.3U>R@2F.3U>L@3F.2U]#00,5400,0,5400,0,CtrObl3[B@2R.3U>R@2F.3U>L@3F.2U]#00,CtrObl3[B@2R.3U>R@2F.3U>L@3F.2U],CtrObl3[B@2R.3U>R@2F.3U>L@3F.2U],3,0,11,2R2 L 2U2 L 3D' L' 2U2 L 3D 2R2 L2
rubiks-7,CtrObl3[B@3L.2U>R@2F.3U>L@2B.3U],,CtrObl3[B@3L.2U>R@2F.3U>L@2B.3U]#00,5400,0,5400,0,CtrObl3[B@3L.2U>R@2F.3U>L@2B.3U]#00,CtrObl3[B@3L.2U>R@2F.3U>L@2B.3U],CtrObl3[B@3L.2U>R@2F.3U>L@2B.3U],3,0,8,3B2 2D' B2 2D 3B2 2D' B2 2D
rubiks-7,CtrObl3[F@2L.3U>F@3R.2U>R@2F.3U],,CtrObl3[F@2L.3U>F@3R.2U>R@2F.3U]#00,3700,0,3700,0,CtrObl3[F@2L.3U>F@3R.2U>R@2F.3U]#00,CtrObl3[F@2L.3U>F@3R.2U>R@2F.3U],CtrObl3[F@2L.3U>F@3R.2U>R@2F.3U],3,0,8,2U' R' 3U' R 2U R' 3U R
rubiks-7,CtrObl3[F@2L.3U>L@2B.3U>R@2B.3D],,CtrObl3[F@2L.3U>L@2B.3U>R@2B.3D]#00,5500,0,5500,0,CtrObl3[F@2L.3U>L@2B.3U>R@2B.3D]#00,CtrObl3[F@2L.3U>L@2B.3U>R@2B.3D],CtrObl3[F@2L.3U>L@2B.3U>R@2B.3D],3,0,8,2D2 R 3U' R' 2D2 R 3U R'
rubiks-7,CtrObl3[F@2L.3U>L@2B.3U>R@2F.3U],,CtrObl3[F@2L.3U>L@2B.3U>R@2F.3U]#00,5600,0,5600,0,CtrObl3[F@2L.3U>L@2B.3U>R@2F.3U]#00,CtrObl3[F@2L.3U>L@2B.3U>R@2F.3U],CtrObl3[F@2L.3U>L@2B.3U>R@2F.3U],3,0,8,2D F' 2D' 3B2 2D F 2D' 3B2
rubiks-7,CtrObl3[F@2L.3U>L@2F.3D>R@2F.3U],,CtrObl3[F@2L.3U>L@2F.3D>R@2F.3U]#00,5500,0,5500,0,CtrObl3[F@2L.3U>L@2F.3D>R@2F.3U]#00,CtrObl3[F@2L.3U>L@2F.3D>R@2F.3U],CtrObl3[F@2L.3U>L@2F.3D>R@2F.3U],3,0,10,2L2 2U2 R 3D' R' 2U2 R 3D 2L2 R'
rubiks-7,CtrObl3[F@2L.3U>L@3F.2U>R@2F.3U],,CtrObl3[F@2L.3U>L@3F.2U>R@2F.3U]#00,5600,0,5600,0,CtrObl3[F@2L.3U>L@3F.2U>R@2F.3U]#00,CtrObl3[F@2L.3U>L@3F.2U>R@2F.3U],CtrObl3[F@2L.3U>L@3F.2U>R@2F.3U],3,0,11,L2 2L2 3D L' 2U2 L 3D' L' 2U2 L' 2L2
rubiks-7,CtrObl3[F@2L.3U>R@2B.3D>L@2B.3U],,CtrObl3[F@2L.3U>R@2B.3D>L@2B.3U]#00,5500,0,5500,0,CtrObl3[F@2L.3U>R@2B.3D>L@2B.3U]#00,CtrObl3[F@2L.3U>R@2B.3D>L@2B.3U],CtrObl3[F@2L.3U>R@2B.3D>L@2B.3U],3,0,8,2D2 L 3U L' 2D2 L 3U' L'
rubiks-7,CtrObl3[F@2L.3U>R@2B.3D>R@2F.3U],,CtrObl3[F@2L.3U>R@2B.3D>R@2F.3U]#00,3700,0,3700,0,CtrObl3[F@2L.3U>R@2B.3D>R@2F.3U]#00,CtrObl3[F@2L.3U>R@2B.3D>R@2F.3U],CtrObl3[F@2L.3U>R@2B.3D>R@2F.3U],3,0,8,R2 3B 2L' 3B' R2 3B 2L 3B'
